shipment_id,shipping_method,shipping_charge
101,7 Days,3
102,Next Day,10
103,Next Day,10
104,7 Days,3
105,Next Day,10
106,5 Days,6
107,Next Day,10
108,7 Days,3
109,7 Days,3
110,5 Days,6
111,Next Day,10
112,7 Days,3
113,7 Days,3
114,7 Days,3
115,Next Day,10
116,Next Day,10
117,7 Days,3
118,Next Day,10
119,7 Days,3
120,5 Days,6
121,7 Days,3
122,Next Day,10
123,5 Days,6
124,7 Days,3
125,7 Days,3
126,Next Day,10
127,Next Day,10
128,5 Days,6
129,Next Day,10
130,5 Days,6
131,Next Day,10
132,7 Days,3
133,7 Days,3
134,Next Day,10
135,7 Days,3
136,7 Days,3
137,5 Days,6
138,Next Day,10
139,5 Days,6
140,5 Days,6
141,7 Days,3
142,7 Days,3
143,5 Days,6
144,5 Days,6
145,7 Days,3
146,7 Days,3
147,7 Days,3
148,7 Days,3
149,7 Days,3
150,7 Days,3
