warehouse_id,capacity,current_stock,w_city,w_post_code,w_address_street
584,93853,10260,Glasgow,G2,74274 Cindy Radial Apt. 306
542,34280,29959,Paisley,PA1,301 Michael Valleys
703,73516,70756,Edinburgh,EH8,54563 King Road
909,55602,13913,Montrose,DD10,40264 Charles Course
744,89672,14767,Dumfries,DG1,4708 Debra Via Suite 201
638,63224,52709,Castle Douglas,DG6,92316 Blake Motorway
737,22023,13448,Kirkcaldy,KY1,5290 Dorothy Ville Suite 074
827,69487,7354,Motherwell,ML1,5254 Freeman Landing
628,81647,52616,Aberdeen,AB22,7111 Christopher Port
755,38781,16083,Dumfries,DG1,34191 Mcdaniel Centers
989,68972,60852,Edinburgh,EH1,970 Horne Summit Suite 912
790,82606,48720,Inverness,IV2,6862 Phillips Street Suite 696
952,71159,37039,Castle Douglas,DG6,58627 Wilson River
631,97752,91835,Gourock,PA19,2995 Watson Grove
953,77720,5005,Glenrothes,KY7,36062 Shannon Springs Apt. 701
576,81948,58715,Kilmarnock,KA1,659 Scott Prairie Apt. 679
565,93159,82869,Kilmarnock,KA1,916 Martin Mountain
887,92614,89911,Edinburgh,EH1,83657 Robinson Ferry
820,68646,33083,Castle Douglas,DG6,1748 Hanson Roads
572,43507,36448,Glasgow,G2,5939 Howard Fall Suite 314
868,51057,36053,Glasgow,G2,504 Ramos Harbors Apt. 467
971,69609,16642,Dumfries,DG1,2229 Sanders Track Apt. 523
924,83959,52463,Ardrossan,KA22,9143 Donald Parks
766,31146,25198,Dundee,DD1,83703 Tyler Loop
651,28554,14151,Aberdeen,AB22,5941 Savannah Divide
746,87872,14784,Kirkcaldy,KY1,2387 Carter Highway Apt. 535
986,75498,4287,Montrose,DD10,34462 Christine Crescent Apt. 315
711,57318,14754,Kilmarnock,KA1,710 Vaughan Rapid Apt. 020
664,20523,7178,Ardrossan,KA22,5864 Huang Crossing Apt. 313
926,81262,10537,Castle Douglas,DG6,68480 Joshua Ridges Apt. 863
897,62333,22708,Edinburgh,EH1,11846 Garrett Gardens Suite 283
601,91252,40239,Dumfries,DG1,33862 Debra Ridges
729,20106,7735,Aberdeen,AB22,4458 Flowers Key
978,41863,33251,Inverness,IV1,379 Graham Locks
507,52522,29776,Motherwell,ML1,1661 Nicole Avenue
962,72215,6551,Edinburgh,EH8,80023 Choi Overpass Apt. 764
961,38762,13177,Edinburgh,EH1,101 Estes Fort Apt. 013
720,97159,79662,Ardrossan,KA22,31485 Anita Branch
741,74889,70004,Montrose,DD10,522 Mayo Street Suite 593
678,62562,27017,Glasgow,G1,284 Andrew Lakes Apt. 758
959,96545,76979,Edinburgh,EH1,48836 Hodge Shore Apt. 758
780,51778,17429,Ardrossan,KA22,6656 Adams Turnpike Apt. 316
826,29295,24159,Castle Douglas,DG6,21015 Johnson Springs
590,81636,75743,Edinburgh,EH1,91020 Rivers Gateway
554,25352,19458,Edinburgh,EH1,812 Davis Mews Apt. 906
714,25517,13911,Inverness,IV2,797 Michael Cliff
586,64631,41778,Kirkcaldy,KY1,129 Amy Meadows Apt. 071
543,34102,2709,Aberdeen,AB22,18188 Robert Grove
947,30131,6940,Kilmarnock,KA1,13569 Jennifer Isle
960,61867,17527,Edinburgh,EH8,684 Donald Vista
