order_id,order_date,order_status,quantity_of_product_ordered,payment_method,voucher_value,review_rating,shipment_id,product_id,customer_id
1,2024-01-14,Shipped,2,Pay Pal,3.1,NULL,96,34,21605
1,2024-01-14,Shipped,9,Pay Pal,3.3,NULL,96,56,21605
1,2024-01-14,Shipped,4,Pay Pal,4.7,NULL,96,62,21605
1,2024-01-14,Shipped,2,Pay Pal,7.6,NULL,96,2,21605
1,2024-01-14,Shipped,6,Pay Pal,7.1,NULL,96,64,21605
1,2024-01-14,Shipped,2,Pay Pal,6.2,NULL,96,35,21605
1,2024-01-14,Shipped,7,Pay Pal,7.0,NULL,96,6,21605
1,2024-01-14,Shipped,6,Pay Pal,4.3,NULL,96,40,21605
2,2024-01-25,Processing,5,Google Pay,3.9,NULL,81,61,49971
2,2024-01-25,Processing,4,Google Pay,1.1,NULL,81,56,49971
2,2024-01-25,Processing,1,Google Pay,9.8,NULL,81,13,49971
2,2024-01-25,Processing,9,Google Pay,0.3,NULL,81,18,49971
3,2024-02-02,Paid,10,Visa,3.6,NULL,26,6,44492
3,2024-02-02,Paid,8,Visa,8.4,NULL,26,14,44492
3,2024-02-02,Paid,3,Visa,3.3,NULL,26,40,44492
3,2024-02-02,Paid,9,Visa,0.0,NULL,26,22,44492
3,2024-02-02,Paid,3,Visa,3.5,NULL,26,50,44492
3,2024-02-02,Paid,9,Visa,0.2,NULL,26,57,44492
4,2024-01-19,Processing,8,Mastercard,8.1,NULL,85,11,16206
5,2024-01-24,Paid,5,Visa,7.6,NULL,17,10,28941
5,2024-01-24,Paid,1,Visa,7.3,NULL,17,5,28941
6,2024-02-11,Shipped,8,Google Pay,2.0,NULL,7,18,28736
6,2024-02-11,Shipped,5,Google Pay,0.1,NULL,7,30,28736
7,2024-03-07,Processing,7,Pay Pal,9.0,NULL,66,31,22884
7,2024-03-07,Processing,5,Pay Pal,8.1,NULL,66,37,22884
7,2024-03-07,Processing,8,Pay Pal,1.3,NULL,66,8,22884
7,2024-03-07,Processing,1,Pay Pal,2.7,NULL,66,40,22884
7,2024-03-07,Processing,6,Pay Pal,5.5,NULL,66,16,22884
7,2024-03-07,Processing,4,Pay Pal,8.0,NULL,66,52,22884
7,2024-03-07,Processing,7,Pay Pal,9.8,NULL,66,17,22884
7,2024-03-07,Processing,8,Pay Pal,6.6,NULL,66,50,22884
8,2024-01-07,Processing,10,Apple Pay,1.1,NULL,52,15,46003
8,2024-01-07,Processing,1,Apple Pay,1.1,NULL,52,48,46003
8,2024-01-07,Processing,6,Apple Pay,5.3,NULL,52,34,46003
8,2024-01-07,Processing,4,Apple Pay,1.5,NULL,52,40,46003
8,2024-01-07,Processing,1,Apple Pay,2.7,NULL,52,25,46003
9,2024-02-28,Done,8,Pay Pal,4.5,4,41,33,21711
9,2024-02-28,Done,4,Pay Pal,6.4,2,41,58,21711
9,2024-02-28,Done,9,Pay Pal,3.5,3,41,25,21711
9,2024-02-28,Done,2,Pay Pal,9.7,4,41,22,21711
9,2024-02-28,Done,4,Pay Pal,2.7,2,41,8,21711
9,2024-02-28,Done,4,Pay Pal,4.7,1,41,50,21711
9,2024-02-28,Done,6,Pay Pal,5.4,5,41,34,21711
10,2024-01-31,Processing,7,Pay Pal,1.3,NULL,84,35,13499
10,2024-01-31,Processing,8,Pay Pal,0.4,NULL,84,6,13499
10,2024-01-31,Processing,6,Pay Pal,3.2,NULL,84,28,13499
10,2024-01-31,Processing,8,Pay Pal,6.2,NULL,84,39,13499
10,2024-01-31,Processing,1,Pay Pal,0.4,NULL,84,47,13499
10,2024-01-31,Processing,2,Pay Pal,3.9,NULL,84,58,13499
11,2024-01-22,Returned,2,Google Pay,2.2,NULL,68,70,42671
11,2024-01-22,Returned,7,Google Pay,8.1,NULL,68,24,42671
11,2024-01-22,Returned,4,Google Pay,7.6,NULL,68,63,42671
11,2024-01-22,Returned,2,Google Pay,0.3,NULL,68,67,42671
11,2024-01-22,Returned,8,Google Pay,2.9,NULL,68,23,42671
11,2024-01-22,Returned,8,Google Pay,9.1,NULL,68,22,42671
11,2024-01-22,Returned,4,Google Pay,2.1,NULL,68,56,42671
12,2024-01-30,Processing,7,Apple Pay,6.0,NULL,15,10,13102
12,2024-01-30,Processing,1,Apple Pay,7.1,NULL,15,11,13102
12,2024-01-30,Processing,9,Apple Pay,8.5,NULL,15,2,13102
12,2024-01-30,Processing,1,Apple Pay,6.6,NULL,15,24,13102
12,2024-01-30,Processing,7,Apple Pay,5.3,NULL,15,39,13102
12,2024-01-30,Processing,1,Apple Pay,0.2,NULL,15,66,13102
12,2024-01-30,Processing,4,Apple Pay,0.7,NULL,15,5,13102
12,2024-01-30,Processing,2,Apple Pay,6.2,NULL,15,14,13102
13,2024-02-26,Shipped,2,Google Pay,1.3,NULL,45,45,44492
14,2024-02-11,Shipped,4,Pay Pal,1.4,NULL,28,56,17340
14,2024-02-11,Shipped,3,Pay Pal,8.3,NULL,28,46,17340
14,2024-02-11,Shipped,10,Pay Pal,0.6,NULL,28,20,17340
15,2024-01-03,Paid,7,Apple Pay,2.2,NULL,29,30,22884
15,2024-01-03,Paid,1,Apple Pay,3.2,NULL,29,16,22884
15,2024-01-03,Paid,10,Apple Pay,2.3,NULL,29,12,22884
15,2024-01-03,Paid,1,Apple Pay,0.5,NULL,29,42,22884
15,2024-01-03,Paid,2,Apple Pay,8.6,NULL,29,21,22884
16,2024-03-04,Done,7,Google Pay,6.9,3,86,67,41327
16,2024-03-04,Done,9,Google Pay,3.8,1,86,27,41327
16,2024-03-04,Done,1,Google Pay,8.7,1,86,48,41327
16,2024-03-04,Done,1,Google Pay,6.8,1,86,26,41327
16,2024-03-04,Done,1,Google Pay,3.8,2,86,41,41327
16,2024-03-04,Done,6,Google Pay,7.6,1,86,15,41327
16,2024-03-04,Done,4,Google Pay,9.9,1,86,62,41327
17,2024-01-30,Shipped,3,Visa,5.9,NULL,58,6,44314
17,2024-01-30,Shipped,1,Visa,3.8,NULL,58,43,44314
17,2024-01-30,Shipped,9,Visa,2.8,NULL,58,30,44314
17,2024-01-30,Shipped,10,Visa,6.3,NULL,58,65,44314
17,2024-01-30,Shipped,9,Visa,8.9,NULL,58,52,44314
18,2024-01-23,Done,3,Mastercard,1.0,1,55,15,12440
18,2024-01-23,Done,5,Mastercard,4.1,4,55,56,12440
18,2024-01-23,Done,9,Mastercard,5.4,1,55,62,12440
19,2024-01-05,Shipped,3,Apple Pay,8.1,NULL,71,31,28387
19,2024-01-05,Shipped,5,Apple Pay,8.7,NULL,71,12,28387
19,2024-01-05,Shipped,1,Apple Pay,5.3,NULL,71,66,28387
19,2024-01-05,Shipped,1,Apple Pay,1.2,NULL,71,61,28387
19,2024-01-05,Shipped,6,Apple Pay,6.1,NULL,71,35,28387
19,2024-01-05,Shipped,8,Apple Pay,7.5,NULL,71,63,28387
19,2024-01-05,Shipped,7,Apple Pay,8.2,NULL,71,52,28387
20,2024-02-16,Done,5,Visa,2.2,4,93,67,16423
20,2024-02-16,Done,5,Visa,7.8,3,93,61,16423
20,2024-02-16,Done,10,Visa,9.7,3,93,49,16423
21,2024-03-11,Returned,6,Pay Pal,4.9,NULL,25,59,27708
22,2024-01-24,Done,2,Visa,5.9,1,31,42,42671
22,2024-01-24,Done,3,Visa,2.3,2,31,56,42671
22,2024-01-24,Done,3,Visa,2.4,3,31,1,42671
22,2024-01-24,Done,1,Visa,6.3,1,31,62,42671
22,2024-01-24,Done,10,Visa,5.0,1,31,58,42671
22,2024-01-24,Done,5,Visa,5.6,3,31,29,42671
22,2024-01-24,Done,4,Visa,2.2,3,31,23,42671
23,2024-02-20,Returned,10,Mastercard,2.3,NULL,9,35,33349
23,2024-02-20,Returned,3,Mastercard,8.8,NULL,9,54,33349
23,2024-02-20,Returned,8,Mastercard,2.0,NULL,9,50,33349
23,2024-02-20,Returned,8,Mastercard,9.8,NULL,9,63,33349
23,2024-02-20,Returned,10,Mastercard,2.2,NULL,9,57,33349
23,2024-02-20,Returned,1,Mastercard,8.3,NULL,9,61,33349
23,2024-02-20,Returned,10,Mastercard,4.1,NULL,9,5,33349
24,2024-03-07,Done,4,Mastercard,5.7,3,70,10,16900
24,2024-03-07,Done,3,Mastercard,8.1,1,70,68,16900
24,2024-03-07,Done,3,Mastercard,7.9,3,70,61,16900
24,2024-03-07,Done,10,Mastercard,1.4,1,70,43,16900
25,2024-01-28,Done,9,Visa,7.2,5,42,44,28736
25,2024-01-28,Done,3,Visa,3.6,3,42,58,28736
25,2024-01-28,Done,3,Visa,8.3,4,42,7,28736
25,2024-01-28,Done,8,Visa,6.8,4,42,37,28736
26,2024-02-11,Shipped,1,Pay Pal,9.8,NULL,18,18,40566
26,2024-02-11,Shipped,6,Pay Pal,7.0,NULL,18,23,40566
26,2024-02-11,Shipped,3,Pay Pal,7.3,NULL,18,38,40566
26,2024-02-11,Shipped,2,Pay Pal,6.7,NULL,18,35,40566
26,2024-02-11,Shipped,6,Pay Pal,8.9,NULL,18,1,40566
26,2024-02-11,Shipped,1,Pay Pal,5.6,NULL,18,61,40566
27,2024-02-27,Returned,8,Google Pay,6.5,NULL,14,36,25529
27,2024-02-27,Returned,7,Google Pay,2.8,NULL,14,24,25529
27,2024-02-27,Returned,3,Google Pay,4.7,NULL,14,12,25529
27,2024-02-27,Returned,3,Google Pay,2.4,NULL,14,37,25529
27,2024-02-27,Returned,6,Google Pay,2.7,NULL,14,56,25529
27,2024-02-27,Returned,10,Google Pay,6.4,NULL,14,51,25529
28,2024-02-29,Paid,5,Visa,5.5,NULL,48,29,45273
28,2024-02-29,Paid,9,Visa,4.0,NULL,48,33,45273
28,2024-02-29,Paid,6,Visa,4.9,NULL,48,23,45273
28,2024-02-29,Paid,9,Visa,7.0,NULL,48,7,45273
28,2024-02-29,Paid,4,Visa,0.3,NULL,48,32,45273
28,2024-02-29,Paid,1,Visa,8.5,NULL,48,50,45273
28,2024-02-29,Paid,3,Visa,1.3,NULL,48,22,45273
29,2024-01-24,Processing,1,Apple Pay,7.3,NULL,91,3,29301
29,2024-01-24,Processing,7,Apple Pay,4.8,NULL,91,55,29301
29,2024-01-24,Processing,4,Apple Pay,3.2,NULL,91,63,29301
29,2024-01-24,Processing,7,Apple Pay,2.8,NULL,91,56,29301
29,2024-01-24,Processing,10,Apple Pay,6.1,NULL,91,51,29301
30,2024-01-05,Paid,2,Visa,8.5,NULL,78,2,31395
30,2024-01-05,Paid,3,Visa,9.0,NULL,78,68,31395
30,2024-01-05,Paid,6,Visa,6.8,NULL,78,44,31395
31,2024-02-10,Processing,4,Apple Pay,1.9,NULL,61,7,16900
31,2024-02-10,Processing,7,Apple Pay,5.1,NULL,61,50,16900
32,2024-01-15,Paid,5,Pay Pal,5.6,NULL,30,58,39153
32,2024-01-15,Paid,6,Pay Pal,5.7,NULL,30,8,39153
32,2024-01-15,Paid,10,Pay Pal,6.5,NULL,30,59,39153
32,2024-01-15,Paid,10,Pay Pal,0.0,NULL,30,32,39153
32,2024-01-15,Paid,1,Pay Pal,9.9,NULL,30,67,39153
32,2024-01-15,Paid,10,Pay Pal,0.6,NULL,30,20,39153
33,2024-03-09,Processing,1,Mastercard,5.8,NULL,73,3,28287
33,2024-03-09,Processing,4,Mastercard,3.2,NULL,73,30,28287
34,2024-01-20,Paid,3,Google Pay,5.5,NULL,8,42,11297
34,2024-01-20,Paid,4,Google Pay,0.4,NULL,8,32,11297
34,2024-01-20,Paid,1,Google Pay,3.2,NULL,8,18,11297
34,2024-01-20,Paid,7,Google Pay,9.9,NULL,8,51,11297
35,2024-01-20,Processing,10,Apple Pay,3.7,NULL,51,50,19135
35,2024-01-20,Processing,1,Apple Pay,6.6,NULL,51,44,19135
35,2024-01-20,Processing,6,Apple Pay,3.4,NULL,51,8,19135
35,2024-01-20,Processing,1,Apple Pay,1.7,NULL,51,19,19135
35,2024-01-20,Processing,6,Apple Pay,6.2,NULL,51,36,19135
35,2024-01-20,Processing,3,Apple Pay,3.0,NULL,51,65,19135
35,2024-01-20,Processing,7,Apple Pay,4.4,NULL,51,46,19135
36,2024-01-05,Shipped,2,Google Pay,0.9,NULL,94,52,39964
36,2024-01-05,Shipped,9,Google Pay,5.0,NULL,94,8,39964
36,2024-01-05,Shipped,2,Google Pay,8.1,NULL,94,63,39964
36,2024-01-05,Shipped,2,Google Pay,6.0,NULL,94,11,39964
36,2024-01-05,Shipped,4,Google Pay,9.0,NULL,94,29,39964
36,2024-01-05,Shipped,2,Google Pay,3.7,NULL,94,27,39964
36,2024-01-05,Shipped,8,Google Pay,7.8,NULL,94,50,39964
36,2024-01-05,Shipped,4,Google Pay,9.1,NULL,94,1,39964
37,2024-02-15,Shipped,8,Pay Pal,4.4,NULL,89,41,31713
37,2024-02-15,Shipped,7,Pay Pal,7.2,NULL,89,8,31713
38,2024-01-03,Returned,8,Apple Pay,3.2,NULL,53,61,38161
39,2024-01-15,Processing,1,Mastercard,1.4,NULL,40,34,30469
39,2024-01-15,Processing,9,Mastercard,3.9,NULL,40,50,30469
39,2024-01-15,Processing,1,Mastercard,4.4,NULL,40,63,30469
39,2024-01-15,Processing,2,Mastercard,6.8,NULL,40,10,30469
39,2024-01-15,Processing,9,Mastercard,1.3,NULL,40,56,30469
40,2024-02-05,Returned,6,Apple Pay,5.6,NULL,57,64,18729
40,2024-02-05,Returned,2,Apple Pay,3.1,NULL,57,4,18729
40,2024-02-05,Returned,5,Apple Pay,6.2,NULL,57,8,18729
40,2024-02-05,Returned,9,Apple Pay,5.1,NULL,57,42,18729
40,2024-02-05,Returned,9,Apple Pay,2.3,NULL,57,36,18729
40,2024-02-05,Returned,3,Apple Pay,1.1,NULL,57,27,18729
41,2024-03-13,Returned,7,Visa,3.4,NULL,64,41,45220
42,2024-02-13,Returned,9,Apple Pay,9.8,NULL,27,6,34351
42,2024-02-13,Returned,3,Apple Pay,3.0,NULL,27,13,34351
42,2024-02-13,Returned,5,Apple Pay,6.8,NULL,27,21,34351
42,2024-02-13,Returned,7,Apple Pay,3.3,NULL,27,17,34351
43,2024-02-05,Returned,6,Visa,5.8,NULL,6,27,41327
44,2024-01-23,Shipped,8,Google Pay,2.7,NULL,90,66,39153
45,2024-02-07,Done,4,Apple Pay,8.7,4,5,8,21644
45,2024-02-07,Done,9,Apple Pay,1.0,2,5,65,21644
45,2024-02-07,Done,3,Apple Pay,9.5,4,5,26,21644
45,2024-02-07,Done,2,Apple Pay,8.2,5,5,19,21644
45,2024-02-07,Done,6,Apple Pay,3.5,2,5,17,21644
45,2024-02-07,Done,10,Apple Pay,9.8,5,5,22,21644
46,2024-01-22,Shipped,4,Mastercard,9.4,NULL,72,49,21605
47,2024-02-03,Done,1,Pay Pal,8.1,1,22,17,34351
47,2024-02-03,Done,7,Pay Pal,7.7,2,22,39,34351
47,2024-02-03,Done,9,Pay Pal,6.6,3,22,26,34351
47,2024-02-03,Done,1,Pay Pal,8.9,2,22,44,34351
47,2024-02-03,Done,6,Pay Pal,1.9,3,22,48,34351
47,2024-02-03,Done,5,Pay Pal,4.8,2,22,20,34351
47,2024-02-03,Done,6,Pay Pal,9.5,2,22,66,34351
48,2024-02-17,Paid,1,Visa,7.0,NULL,62,4,48962
48,2024-02-17,Paid,3,Visa,6.4,NULL,62,36,48962
48,2024-02-17,Paid,4,Visa,9.5,NULL,62,64,48962
48,2024-02-17,Paid,10,Visa,1.8,NULL,62,62,48962
